uid,locno,DAYNO,stime,etime,X_PUBLIC,Y_PUBLIC
97,4000158_1,94000158,2,1170435420,1170385140,-88.11,41.68
98,4000158_2,94000158,1,1170298800,1170324600,-88.11,41.68
99,4000158_2,20001857,1,1170326100,1170329640,-88.16,41.57
100,4000158_2,20001908,1,1170331260,1170331740,-88.11,41.68
101,4000158_2,94000158,1,1170332040,1170298740,-88.11,41.68
102,4000158_2,94000158,2,1170385200,1170385140,-88.11,41.68
103,4000160_1,94000160,1,1170298800,1170317700,-87.9,41.91
104,4000160_1,10003168,1,1170318600,1170334800,-87.85,41.89
105,4000160_1,94000160,1,1170336600,1170338400,-87.9,41.91
106,4000160_1,10003168,1,1170339300,1170344700,-87.85,41.89
107,4000160_1,94000160,1,1170345600,1170345660,-87.9,41.91
108,4000160_1,10003177,1,1170346200,1170347400,-87.9,41.91
109,4000160_1,94000160,1,1170347940,1170298740,-87.9,41.91
110,4000160_2,94000160,1,1170298800,1170317700,-87.9,41.91
111,4000160_2,10003168,1,1170318600,1170334800,-87.85,41.89
112,4000160_2,94000160,1,1170336600,1170338400,-87.9,41.91
113,4000160_2,10003168,1,1170339300,1170344700,-87.85,41.89
114,4000160_2,94000160,1,1170345600,1170345660,-87.9,41.91
115,4000160_2,10003177,1,1170346200,1170347400,-87.9,41.91
116,4000160_2,94000160,1,1170347940,1170298740,-87.9,41.91
117,4000176_1,94000176,1,1170298800,1170306900,-87.83,41.63
118,4000176_1,20010590,1,1170307800,1170356400,-87.85,41.62
119,4000176_1,94000176,1,1170357000,1170298740,-87.83,41.63
120,4000176_1,94000176,2,1170385200,1170394980,-87.83,41.63
121,4000176_1,20008373,2,1170396000,1170399600,-87.81,41.6
122,4000176_1,94000176,2,1170400500,1170402300,-87.83,41.63
123,4000176_1,20008297,2,1170403200,1170409800,-87.82,41.69
124,4000176_1,20008275,2,1170410700,1170416400,-87.83,41.66
125,4000176_1,20008297,2,1170417480,1170424500,-87.82,41.69
126,4000176_1,94000176,2,1170425760,1170436500,-87.83,41.63
127,4000176_1,20008297,2,1170437700,1170445800,-87.82,41.69
128,4000176_1,94000176,2,1170446940,1170385140,-87.83,41.63
129,4000176_2,94000176,1,1170298800,1170311400,-87.83,41.63
130,4000176_2,20008241,1,1170312300,1170343800,-87.82,41.66
131,4000176_2,94000176,1,1170344700,1170298740,-87.83,41.63
132,4000176_2,94000176,2,1170385200,1170397800,-87.83,41.63
133,4000176_2,20008241,2,1170398700,1170430200,-87.82,41.66
134,4000176_2,94000176,2,1170431100,1170385140,-87.83,41.63
135,4000193_1,94000193,1,1170298800,1170335700,-87.7,41.68
136,4000193_1,20001306,1,1170336000,1170336600,-87.7,41.68
137,4000193_1,20001400,1,1170336900,1170339300,-87.7,41.68
138,4000193_1,94000193,1,1170339600,1170298740,-87.7,41.68
139,4000193_1,94000193,2,1170385200,1170385140,-87.7,41.68
140,4000218_1,94000218,1,1170298800,1170324000,-88.12,41.82
141,4000218_1,10001262,1,1170324900,1170325500,-88.12,41.82
142,4000218_1,94000218,1,1170326100,1170340200,-88.12,41.82
143,4000218_1,10001430,1,1170340800,1170342000,-87.93,41.84
144,4000218_1,10001494,1,1170342300,1170345600,-87.93,41.84
145,4000218_1,10001430,1,1170345900,1170347400,-87.93,41.84
146,4000218_1,10001590,1,1170349200,1170351300,-88.12,41.82
147,4000218_1,94000218,1,1170351480,1170360900,-88.12,41.82
148,4000218_1,10001662,1,1170361200,1170365100,-88.09,41.83
149,4000218_1,94000218,1,1170365520,1170298740,-88.12,41.82
150,4000218_2,94000218,1,1170298800,1170317700,-88.12,41.82
151,4000218_2,10001662,1,1170318300,1170322800,-88.09,41.83
152,4000218_2,10001736,1,1170323100,1170323400,-88.09,41.83
153,4000218_2,10001745,1,1170324000,1170326400,-88.11,41.86
154,4000218_2,94000218,1,1170326700,1170327000,-88.12,41.82
155,4000218_2,10001736,1,1170327600,1170328800,-88.09,41.83
156,4000218_2,10001762,1,1170330000,1170330600,-88.09,41.83
157,4000218_2,94000218,1,1170331200,1170298740,-88.12,41.82
158,4000228_1,94000228,1,1170298800,1170338400,-88.12,41.84
159,4000228_1,10001263,1,1170340200,1170340800,-87.98,41.87
160,4000228_1,10001353,1,1170341100,1170298740,-88,41.88
161,4000228_2,94000228,1,1170298800,1170318600,-88.12,41.84
162,4000228_2,10008927,1,1170320100,1170360000,-87.93,41.89
163,4000228_2,94000228,1,1170361500,1170298740,-88.12,41.84
164,4000230_1,94000230,1,1170298800,1170332400,-87.85,41.62
165,4000230_1,94000230,1,1170333000,1170337500,-87.85,41.62
166,4000230_1,94000230,1,1170338280,1170298740,-87.85,41.62
167,4000230_1,94000230,2,1170385200,1170412200,-87.85,41.62
168,4000230_1,20001570,2,1170412500,1170413400,-87.85,41.62
169,4000230_1,20001638,2,1170414000,1170414840,-87.83,41.63
170,4000230_1,94000230,2,1170414900,1170385140,-87.85,41.62
171,4000230_2,94000230,1,1170298800,1170354900,-87.85,41.62
172,4000230_2,20001806,1,1170356400,1170364800,NA,NA
173,4000230_2,94000230,1,1170366000,1170298740,-87.85,41.62
174,4000230_2,94000230,2,1170385200,1170396600,-87.85,41.62
175,4000230_2,20010075,2,1170398100,1170430500,-87.77,41.61
176,4000230_2,94000230,2,1170431400,1170385140,-87.85,41.62
177,4000239_1,94000239,1,1170298800,1170318000,-87.75,41.48
178,4000239_1,10001591,1,1170318600,1170319500,-87.73,41.6
179,4000239_1,94000239,1,1170319920,1170327780,-87.75,41.48
180,4000239_1,10001663,1,1170328560,1170331260,-87.74,41.85
181,4000239_1,94000239,1,1170332040,1170339000,-87.75,41.48
182,4000239_1,10001710,1,1170340680,1170353400,NA,NA
183,4000239_1,94000239,1,1170354840,1170298740,-87.75,41.48
184,4000239_2,94000239,1,1170298800,1170313200,-87.75,41.48
185,4000239_2,10001264,1,1170315000,1170325800,NA,NA
186,4000239_2,10001354,1,1170327600,1170340200,-87.75,41.42
187,4000239_2,10001431,1,1170341100,1170343800,-87.85,41.49
188,4000239_2,94000239,1,1170345600,1170298740,-87.75,41.48
189,4000260_1,94000260,1,1170298800,1170323820,-87.95,41.76
190,4000260_1,20002944,1,1170324900,1170325380,-87.92,41.73
191,4000260_1,20002971,1,1170325800,1170325860,-87.89,41.81
192,4000260_1,20002997,1,1170325980,1170326280,-87.86,41.79
193,4000260_1,20003013,1,1170326820,1170327180,-87.88,41.8
194,4000260_1,20003036,1,1170327900,1170330720,-87.84,41.77
195,4000260_1,20003054,1,1170332100,1170335400,-87.84,41.77
196,4000260_1,20003066,1,1170336600,1170339480,-87.97,41.78
197,4000260_1,94000260,1,1170340200,1170298740,-87.95,41.76
198,4000260_1,94000260,2,1170385200,1170403500,-87.95,41.76
199,4000260_1,20003102,2,1170404400,1170409500,-87.86,41.79
200,4000260_1,20003116,2,1170410700,1170411300,-87.97,41.79
201,4000260_1,94000260,2,1170412020,1170418200,-87.95,41.76
202,4000260_1,20003138,2,1170419280,1170425100,-87.86,41.79
203,4000260_1,20003151,2,1170425400,1170427320,-87.86,41.82
204,4000260_1,94000260,2,1170430020,1170385140,-87.95,41.76
205,4000260_2,94000260,1,1170298800,1170323820,-87.95,41.76
206,4000260_2,20002944,1,1170324900,1170325380,-87.92,41.73
207,4000260_2,20002971,1,1170325800,1170325860,-87.89,41.81
208,4000260_2,20002997,1,1170325980,1170326280,-87.86,41.79
209,4000260_2,20003013,1,1170326820,1170327180,-87.88,41.8
210,4000260_2,20003036,1,1170327900,1170330720,-87.84,41.77
211,4000260_2,20003054,1,1170332100,1170335400,-87.84,41.77
212,4000260_2,20003066,1,1170336600,1170339480,-87.97,41.78
213,4000260_2,94000260,1,1170340200,1170298740,-87.95,41.76
214,4000260_2,94000260,2,1170385200,1170403500,-87.95,41.76
215,4000260_2,20003102,2,1170404400,1170409500,-87.86,41.79
216,4000260_2,20003116,2,1170410700,1170411300,-87.97,41.79
217,4000260_2,94000260,2,1170412020,1170385140,-87.95,41.76
218,4000301_1,94000301,1,1170298800,1170298740,-87.9,42.45
219,4000301_2,94000301,1,1170298800,1170318300,-87.9,42.45
220,4000301_2,10008964,1,1170319080,1170331800,-87.82,42.45
221,4000301_2,10003093,1,1170332040,1170334800,-87.82,42.45
222,4000301_2,10008964,1,1170335040,1170356100,-87.82,42.45
223,4000301_2,94000301,1,1170356880,1170369900,-87.9,42.45
224,4000301_2,10003200,1,1170370680,1170370920,-87.82,42.45
225,4000301_2,10003098,1,1170371100,1170371280,-87.82,42.45
226,4000301_2,94000301,1,1170372000,1170298740,-87.9,42.45
227,4000301_3,94000301,1,1170298800,1170318300,-87.9,42.45
228,4000301_3,10008964,1,1170319080,1170341700,-87.82,42.45
229,4000301_3,10008515,1,1170349200,1170363300,-87.63,41.9
230,4000301_3,10003099,1,1170370800,1170370920,-87.82,42.45
